Output_sources,Input_sources,Highlights
"Bharatanatyam, is the oldest Indian classical dance form originated in the Tanjore district of tamil Nadu and regarded as the mother of many other classical dance forms of India. Bharatnatyam Dance ? Bha- Bhavam (means expression), Ra- Ragam (means music), Ta- Talam (means beat or rhythm) and Natyam (means dance) in Tamil. Bharatnatyaone of the most popular classical Indian dances. Bharatnatyam is more popular in South Indian states of Tamil Nadu and Karnataka. Bharatnatyam dance is almost 2,000 years old. It is believed that Bharatnatyam was revealed by Lord Brahma to Bharata, a famous sage who then codified this sacred dance in a Sanskrit text called the Natya Shastra. The Natya Shastra is one of the fundamental treatises on Indian drama and aesthetics. Natya Shastra divides dance into two distinct forms- nritta, and nritya. In nritta, focus is on mastery of abstract hand gestures and movements, whereas the dancer employs a complex system of hand signals and body language to depict emotional expressions in nritya..MusicThe music of Bharatanatyam is based on Carnatic classical music. The chief musical instruments in Bharata Natyam are the 'Mridangam' and a pair of cymbals. Sometimes Veena, Violin, Ghatam and Flute are also used.
","Bharatanatyam, is the oldest Indian classical dance form originated in the Tanjore district of tamil Nadu and regarded as the mother of many other classical dance forms of India. Bharatnatyam Dance ? Bha- Bhavam (means expression), Ra- Ragam (means music), Ta- Talam (means beat or rhythm) and Natyam (means dance) in Tamil.                                                                                                                 Bharatnatyam holo onnotomo  popular classical Indian dance. Bharatnatyam South Indian state gulo jemon Tamil Nadu ar Karnataka tey beshi popular.                                                         Pray 2,000 bochor aager dance eta. Bishwash kora hoy je Lord Brahma Bharata muni ke eta prothom dekhiyechhilen, je ekjon bohut jnani byakti chhilen.                                                 Tarpor tini ei pabitra dance take ekta Sanskrit boi tey likhechhilen, jaar naam holo Natya Shastra. Natya Shastra holo Indian drama ar sundorjo tottwer ekta osadharon boi. Natya Shastra dance ke dui bhage vag  kore ? nritta, ar nritya. Nritta tey, focus thake abstract haater mudra ar movement er upor, ar nritya tey dancer ra haater signal ar body language er madhyome nijeder moner bhab gulo ke fotiye tolen.                                                                                                                                                                                                                                         MusicThe music of Bharatanatyam is based on Carnatic classical music. The chief musical instruments in Bharata Natyam are the 'Mridangam' and a pair of cymbals. Sometimes Veena, Violin, Ghatam and Flute are also used.                                                                                                                                                                                                                                                      ","Bharatanatyam, the oldest Indian classical dance from Tamil Nadu, is considered the origin of many other classical dances. Its name signifies expression, music, rhythm, and dance in Tamil. Popular in South India, especially Tamil Nadu and Karnataka, this nearly 2,000-year-old dance is believed to have been codified by the sage Bharata in the Natya Shastra. This text divides dance into abstract nritta and expressive nritya. Bharatanatyam's music is Carnatic-based, primarily using the Mridangam and cymbals, often with other instruments like the Veena and Violin. "
"Kathak dance originated from Uttar Pradesh (U.P.), a state in North India. Studies suggest that Kathak originated in Varanasi and this dance form traveled through Lucknow, Jaipur, and other parts of North India and North-West India. The term Kathak is derived from the vedic sanskrit word ?Katha? which means ""story"", and 'Kathakar' which means ""the one who tells a story"". Wandering Kathakars or the traveling bards conveyed tales, inspired by our ancient epics and mythologies, through dance, songs, and music.  Kathak performers exhibit stories through graceful hand movements, extensive footwork, flexible body movements, and most importantly intense facial expressions capable of evoking a range of emotions.","Kathak dance Uttar Pradesh (U.P.) theke eshechhe, jeita North India tey. Studies bolchhe je Kathak prothom Varanasi tey shuru hoyechhilo ar ei dance form ta Lucknow, Jaipur ar North India ar North-West India'r onno jayga diye giyechhilo. 'Kathak' naam ta ashechhe vedic Sanskrit word 'Katha' theke, jaar mane holo ""story"", ar 'Kathakar' mane holo ""je golpo bole"". Ghure berano Kathakara ba traveling bard ra golpo bolten, jaader inspiration chhilo amader purono epic ar mythology, dance, gaan ar gaaner madhyome. Kathak performers ra golpo dekhanten sundor haater movement, onek paayer kaaj, flexible body movement, ar sobcheye important holo mukher bhangi diye jaa onek rokom emotion toiri korte pare. ","Kathak, originating in Uttar Pradesh, North India, likely in Varanasi, spread through Lucknow, Jaipur, and other northern regions. The name comes from the Sanskrit word 'Katha' (story) and 'Kathakar' (storyteller). Ancient wandering Kathakars narrated epics and myths through dance, song, and music. Kathak performances showcase stories using elegant hand movements, intricate footwork, fluid body movements, and expressive facial expressions. "
"Kathakali is believed to have evolved in Kerala in the 17th century. Its precursor, Ramanattam, was created by the King of Kottarakkara, a region in South Kerala, to present the Ramayana (Hindu epic stories) as stylised drama pattern. There are differing historical opinions regarding the origins of Ramanattam: some suggest it was inspired by Krishnanattam, a dance drama depicting the stories of Krishna that patronised by the Samoothiri/Zamorins royal family in North Kerala. Conversely, some researchers argue that Ramanattam predates Krishnanattam. Regardless, Kathakali finds its roots in the Ramayana-based Ramanattam, which was initially performed in royal courts and later refined into the highly codified art form known as Kathakali. The further development of Kathakali is linked to the royal family of Kottayam/Vettathunadu, a region in old Malabar near present-day Kannur. The King of Kottayam, Kottayathu Thampuran, composed four major works for Kathakali: Kirmeeravadham, Bakavadham, Nivathakavacha Kalakeyavadham, and Kalyanasougandhikam. These works, based on stories from the Mahabharata (another Hindu epic) known as 'Kottayam Kathakali' on which Kathakali finds its foundation in choreography, text and performance system. In the 18th century, Kathakali was further refined by Kaplingadu Narayanan Namboothiri, an aesthete who contributed significantly to its development, which style is later renowned as Kaplingadan style of Kathakali. The art form began to flourish again in South and Central Kerala, with regional rulers, royal families, and Namboothiri families (Mana) patronising Kathakali by organising performances and establishing training centres. A pivotal figure in the 20th century- Pattikamthodi Ravunni Menon, played a crucial role in codifying Kathakali's scattered systems. Olappamanna Mana (a Namboothiri - Kerala Brahmin family) in the Village Vellinezhi played a major role in promoting Kathakali training. The style that follows a codified system in presenting both dance and dramatic aspects of kathakali that was designed by Pattikkamthodi Ravunni Menon and later flourished through his disciples is known as 'Kalluvazhi chitta (style)' of Kathakali. The continuous evolution of Kathakali found a complete shelter and refinement with the Kerala Kalamandalam - a prestigious institution for art and culture ","Kathakali is believed to have evolved in Kerala in the 17th century. Its precursor, Ramanattam, was created by the King of Kottarakkara, a region in South Kerala, to present the Ramayana (Hindu epic stories) as stylised drama pattern. There are differing historical opinions regarding the origins of Ramanattam: some suggest it was inspired by Krishnanattam, a dance drama depicting the stories of Krishna that patronised by the Samoothiri/Zamorins royal family in North Kerala. Conversely, some researchers argue that Ramanattam predates Krishnanattam. Regardless, Kathakali finds its roots in the Ramayana-based Ramanattam, which was initially performed in royal courts and later refined into the highly codified art form known as Kathakali. The further development of Kathakali is linked to the royal family of Kottayam/Vettathunadu, a region in old Malabar near present-day Kannur.                                                                                                          
obossoi! Kathakali niye kichhu kotha Banglish-e bola jak:
Kottayam-er raja, Kottayathu Thampuran, Kathakali-r jonno chaarti mukhya kaaj korechhilen: Kirmeeravadham, Bakavadham, Nivathakavacha Kalakeyavadham, ar Kalyanasougandhikam. Ei kaajgulo Mahabharata (aro ekta Hindu epic) theke neoa golper upor vitti  kore toiri, jegulo 'Kottayam Kathakali' naam-e porichito, jaar upor Kathakali-r choreography, text ar performance system darano.
18 shotoke, Kaplingadu Narayanan Namboothiri naam-e ekjon sundorjo tattwabid Kathakali-ke aro unnoto koren, je ei dance form-er bikashe khub important bhumika palon korechhilen. Tar toiri style pore Kaplingadan style of Kathakali naam-e khyati labh kore. Ei art form ta abar South ar Central Kerala-te pholte shuru kore, jokhon oikhankar rajara, raj paribar ar Namboothiri paribargulo (Mana) Kathakali-ke performance organize kore ar training centre toiri kore proshroy dite shuru koren.
20 shotoker  ekjon gurutwapurno byakti chhilen Pattikamthodi Ravunni Menon. Tini Kathakali-r chhorano systemguloke ekta nirdishto niyam-er modhye anar jonno khub important bhumika palon  korechhilen. Vellinezhi gram-er Olappamanna Mana (ekta Namboothiri - Kerala Brahmin paribar) Kathakali training-ke promote korar jonno boro bhumika niyechhilo. Je style-ta Kathakali-r dance ar dramatic dikgulo ke present korar jonno Pattikkamthodi Ravunni Menon-er toiri kora nirdishto niyam mene chole ar pore tar shishyer madhyome bikash lav korechhe, seta 'Kalluvazhi chitta (style)' of Kathakali naam-e porichito?
Kathakali-r abiram bikash Kerala Kalamandalam-e ese  ekta purno ashroy ar unnoti khuje pay ? jeita holo art ar culture-er ekta sammanjanak shikhya prothisthan.
","Kathakali, a 17th-century dance form from Kerala, evolved from Ramanattam, a Ramayana-based drama created by the King of Kottarakkara. While Ramanattam's origins are debated in relation to Krishnanattam, Kathakali developed from it in royal courts. The Kottayam royal family, especially Kottayathu Thampuran, significantly contributed with Mahabharata-based works ('Kottayam Kathakali'), shaping its structure. The 18th century saw Kaplingadu Narayanan Namboothiri's refinements ('Kaplingadan style'). Kathakali then flourished under various patrons. In the 20th century, Pattikamthodi Ravunni Menon codified its systems, leading to the 'Kalluvazhi chitta' style. The Kerala Kalamandalam has been crucial for Kathakali's ongoing evolution. "
"The state of Manipur is home to many styles of dance. Manipuri dances embrace both folk and classical forms of dance.  The Raas Leela, a Manipuri dance form, is one of India?s eight primary classical dance forms. The Manipuri folk dances are performed primarily in devotion to local gods such as Umang Lai during festivals like Lai Haraoba. The dance forms of the numerous local tribes also contribute to the styles of Manipuri dance. It is usually performed by multiple groups where each group has its unique costumes, theme, patterns and expertise. Manipuri dance is primarily religious and aims to express spirituality.  It is performed mainly during festivals and ceremonies such as weddings and rites, particularly by the Meitei people. Most of the Manipuri dance forms are said to have originated in temples and have been passed down verbally from time to time.","The state of Manipur is home to many styles of dance. Manipuri dances embrace both folk and classical forms of dance.  The Raas Leela, a Manipuri dance form, is one of India?s eight primary classical dance forms. The Manipuri folk dances are performed primarily in devotion to local gods such as Umang Lai during festivals like Lai Haraoba. The dance forms of the numerous local tribes also contribute to the styles of Manipuri dance. Etaa sadharontoh onek gulo dol dara poribeshito  hoye thake, jekhane prottek doler nijer alada poshak, bishoybastu, naksha ebong dakkhyota thake. Manipuri naach proadhanoto dhormiyo ebong er uddeshsho holo adhyatmikota prokaash kora. Etaa mukhyoto utsob ebong anushthane poribeshito hoy, jemon biye ebong riti-niti, bishes kore Meitei lokder dwara. Beshirbhag Manipuri naacher prokarved mondire shuru hoyeche bole dhara hoy ebong ta somoyer sathe sathe maukhik bhabe porompora krome chole aasche. ","Manipur is known for its diverse dance styles, encompassing both folk and classical forms. The Raas Leela is a major classical Manipuri dance. Folk dances are mainly devotional, performed for local deities like Umang Lai during festivals such as Lai Haraoba. Additionally, the dance styles of Manipur's various tribes contribute to the richness of Manipuri dance. These performances often involve multiple groups with distinct costumes, themes, patterns, and expertise. Primarily religious, Manipuri dance aims to express spirituality and is mainly performed by the Meitei people during festivals and ceremonies like weddings and rites. Many Manipuri dance forms are believed to have originated in temples and have been passed down orally. "
"Mohiniyattam grew into a codified structured form under the patronage of Maharaja Swati Thirunal- the King of Travancore (South of Kerala with the Capital at Trivandrum) in the 19th century with the help of Tamil Nattuvanars (dance teacher and composers) and dancers. The roots of present-day Mohiniyattam can be traced back to the dance tradition nurtured by King Swathi Thirunal. After his period, the dance form was popular only in central Kerala, as one of the king's court musicians and composers, Palakkad Parameshwara Bhagavathar, returned to his homeland near Palakkad in central Kerala and began training young girls. During the institutionalized training for art forms as part of Nationalist movements, Mohiniyattam received its revival at the institution Kerala Kalamandalam under the patronage of poet Vallathole Narayana Menon. Later, from the mid-twentieth century, Mohiniyattam has been accepted as one of the major art forms of Kerala.","Mohiniyattam grew into a codified structured form under the patronage of Maharaja Swati Thirunal- the King of Travancore (South of Kerala with the Capital at Trivandrum) in the 19th century with the help of Tamil Nattuvanars (dance teacher and composers) and dancers.                                                                                                                                                       Bartoman Mohiniyattam-er shuru khuje paoa jaay raja Swathi Thirunal-er toiri kora dance tradition-er modhye. Tar shomoyer pore, ei dance form ta shudhu Central Kerala-te popular chhilo, karon rajar court-er ekjon gaanbajna shilpi ar gaan toirikari, Palakkad Parameshwara Bhagavathar, tar nijer bari Palakkad-er kachhakachi fire jaan ar sei jaygay choto meyeder training dite shuru koren. Nationalist movement-er shomoy art formgulor jonno institution-based training shuru hole, poet Vallathole Narayana Menon-er proshroye Kerala Kalamandalam institution-e Mohiniyattam notun jibon paay. Pore, bis shataker madhyabhag theke, Mohiniyattam Kerala-r ?????? pro ?????? art form hishebe shikar labh korechhe. ","Mohiniyattam, a classical dance form from Kerala, developed into a structured form in the 19th century under Maharaja Swati Thirunal of Travancore, with the support of Tamil Nattuvanars and dancers. While its roots lie in this period, the dance form later became localized in central Kerala after the king's reign, largely due to the efforts of Palakkad Parameshwara Bhagavathar. Mohiniyattam experienced a revival in the mid-20th century, gaining recognition as a major art form of Kerala through its institutionalization at Kerala Kalamandalam under the patronage of poet Vallathole Narayana Menon. "
"Kuchipudi is a notable Indian classical dance form counted among the ten leading traditional dance forms of India. It is a dance cum drama performance that emerged in the Krishna district of Andhra Pradesh. Like all leading dance forms of India, Kuchipudi also developed as religious art and roots back to ?Natya Shastra.? This dance form is known for its quick moves, lively eye expressions, and hand gestures. The peculiar concept of the dance form is that the brass plate is moved in accordance with Carnatic music. Kuchipudi performances are generally oriented on Lord Krishna and the tradition of Vaishnavism.","Kuchipudi is a notable Indian classical dance form counted among the ten leading traditional dance forms of India. It is a dance cum drama performance that emerged in the Krishna district of Andhra Pradesh. Like all leading dance forms of India, Kuchipudi also developed as religious art and roots back to ?Natya Shastra.?                                                                                                                                                        
Ei dance form ta tar taratari movement, chokh diye jibonto bhab prokas ar haater mudragulor jonno khub porichito. Ei dance form-er bishesh dhoroner idea holo je brass-er thaali ta Carnatic sangeeter sathe taal meliye norano hoy. Kuchipudi performance gulo sadharonoto Lord Krishna ar Vaishnavism-er tradition-er upor ?????? kore toiri.
","Kuchipudi, a significant classical Indian dance from Andhra Pradesh's Krishna district, is a dance-drama rooted in religious art and the 'Natya Shastra.' Known for its fast movements, expressive eyes, and hand gestures, a unique aspect of Kuchipudi is the dancer moving on a brass plate to Carnatic music. The performances typically revolve around Lord Krishna and Vaishnavism. "
"Odissi dance, originating from the state of Odisha in India, is a classical Indian dance form known for its graceful movements, expressive facial expressions, and bright costumes. It is believed to be one of the oldest surviving classical dance forms, with roots dating back to the temples of Odisha. Odissi is often depicted as a dance of love, blending human and divine aspects of life ","Odissi dance, originating from the state of Odisha in India, is a classical Indian dance form known for its graceful movements, expressive facial expressions, and bright costumes.                                                                                                                               
Eita onek purono jege thaka classical dance form-er modhye ekta bole bishwash kora hoy, jaar shikor Odisha-r mondir porjonto choliye gechhe. Odissi-ke prayoi bhalobashar naach hishebe dekhaano hoy, jaa jiboner manushik ar aloukik dikguloke eksathe meshae.
","Originating in Odisha, Odissi is a classical Indian dance renowned for its graceful movements, expressive faces, and vibrant attire. Considered one of the oldest surviving classical forms with temple origins in Odisha, Odissi frequently portrays love, merging human and divine elements. "
"Sattriya Dance is a classical Indian dance form that originated in the Sattras, or Vaishnavite monasteries, of Assam, India. It is a beautiful and expressive dance form that is characterized by its graceful movements, intricate footwork, and expressive hand gestures. Sattriya Dance is traditionally performed by male monks. However, in recent years, women have also begun to learn and perform the dance form.  ","Sattriya Dance is a classical Indian dance form that originated in the Sattras, or Vaishnavite monasteries, of Assam, India.             Eta khub sundor ar bhabpurno ekta dance form ja tar komol movement, jotil paayer kaaj ar bhabpurno haater mudragulor jonno chinno jay. Sattriya Dance prothay male monk der dwara ???????? hoto. Tobey, bichitro bochor dhore, meyerao ekhon ei dance form shikhte ar perform korte shuru korechhe. ","Sattriya Dance, a classical Indian dance from Assam's Vaishnavite monasteries, is known for its graceful movements, detailed footwork, and expressive hand gestures. Traditionally performed by male monks, women have recently begun to learn and perform this expressive art form. "
"The Bihu Dance is one of the most colourful folk dances of India. Bihu is generic to celebration in an agricultural society. For the people of Assam, Bihu is not only a festival, but also a time for celebration. The Assamese people celebrate three different Bihu festivals, Bohag Bihu or Rangoli Bihu, celebrated in Spring, Magh Bihu or Bhogali Bihu celebrated in Winter and Kongali Bihu or Kati Bihu celebrated in Autumn. The Bihu dance is a traditional heritage of Assam and the festival helps to strengthen the unity in diversity among the people of Assam. During the revelry, the banks of the Brahmaputra come alive with the rhythms of the dhol (drum) and pepa (flute). The dancers perform in a circle beginning with a slower tempo, which gradually gains momentum. Drums, cymbals, hornpipes, harps and bamboo clappers, provide musical accompaniment. Though the dance is inspired by agricultural operations, the songs and the graceful dancing builds up an atmosphere of love and romance. The dance has been noted for maintaining authenticity and at the same time displaying the traditional Assamese handlooms and handicrafts in their beauty and glory. The costume worn by the women consists of a Gitigee (kind of headgear), Agoo (mekhala) and Lagu Richa (chaddar). Beautiful ornaments are their accessories. The men wear a Dhoti, Gomocha (Towel) and Chapkan (shirt). ","The Bihu Dance is one of the most colourful folk dances of India. Bihu is generic to celebration in an agricultural society. For the people of Assam, Bihu is not only a festival, but also a time for celebration.     Bihu Assam ke logon ke liye sirf ek tyohaar se badhkar hai; yeh saal bhar mein teen alag-alag tyohaaron ke saath manaane ka samay hai: Bohag Bihu (Basant), Magh Bihu (Sardi), aur Kongali Bihu (Patjhad). Bihu nritya, Assam ki ek paramparik virasat hai, jo Assam ke logon mein ekta aur vividhta ko badhava deta hai. Jashn ke dauraan, Brahmaputra nadi ke kinaare dhol aur pepa ki dhunon se gunj uthte hain jabki nrityanganaen ek golakar mein dheemi gati se shuru hokar dheere-dheere tez hoti jaati hain. Sangeet mein dhol, manjire, turahi, harp, aur baans ke tali bajaae jaate hain. Halaanki yeh nritya krishi karyon se prerit hai, lekin geet aur sundar nritya pyaar aur romance ka mahaul banaate hain. Yeh nritya apni pramanikta banae rakhne aur saath hi saath paramparik Assamese hathkargha aur hastashilp ki sundarta aur mahima ko pradarshit karne ke liye bhi jaana jaata hai. Mahilaaen Gitigee (ek prakaar ka sir ka gehana), Agoo (mekhala), aur Lagu Richa (chaddar) pahanti hain aur sundar aabhushan unke shringar hote hain. Purush Dhoti, Gomocha (gamchha), aur Chapkan (kurta) pahnte hain.                                                                                                                   
","The Bihu dance, a vibrant folk dance from Assam, India, is central to the celebration of Bihu, which encompasses three agricultural festivals: Bohag Bihu (Spring), Magh Bihu (Winter), and Kongali Bihu (Autumn). This traditional dance fosters unity and diversity in Assam. Accompanied by instruments like the dhol and pepa, dancers perform in a circular pattern, starting slow and building speed. While rooted in agriculture, the dance and songs evoke love and romance and showcase traditional Assamese handlooms and handicrafts. Women wear a Gitigee, Agoo (mekhala), and Lagu Richa (chaddar) with ornaments, while men wear a Dhoti, Gomocha, and Chapkan. "
"Folk dances are created by individuals to depict the lifestyles of people in a specific country or region. These dances are not all ethnic dances, they are not ceremonial dances or dances based on rituals. Folk dances facilitate the exploration of India?s diverse cultural terrain. The traditions of Tribal and Folk dances of India vary by state or region and are based on local mythology and folklore. It?s a unique blend of composite art. Folk dances, unlike classical dances, are spontaneous and performed by locals with no formal instruction and they are restricted to a small group of people or a single venue. The knowledge is passed down from generation to generation. I","Lokonrityo gulo holo emon sob nrityo ja sthaniyo manush jon tairi kore , ja kono bisesh desh ba ancholer manusher jibonjatra o sannaskriti ke tule dhore.                                                                                                                                                                                                        These dances are not all ethnic dances, they are not ceremonial dances or dances based on rituals. Folk dances facilitate the exploration of India?s diverse cultural terrain. The traditions of Tribal and Folk dances of India vary by state or region and are based on local mythology and folklore. It?s a unique blend of composite art. Folk dances, unlike classical dances, are spontaneous and performed by locals with no formal instruction and they are restricted to a small group of people or a single venue.                                                                                          Ei gyan ta ekta projonmo theke porer projonme dharabahik vabe cholte","Folk dances in India are spontaneous expressions of local lifestyles, distinct from ethnic, ceremonial, or ritual dances. They offer a glimpse into India's diverse culture, varying by state or region and drawing from local myths and folklore. Unlike classical dances, folk dances are performed by untrained locals within specific communities or areas, with knowledge passed down through generations. "
